question_id,n_non_mainland,n_mainland,mean_non_mainland,mean_mainland,mean_diff,agree_pct_non_mainland,agree_pct_mainland,agree_diff,mannwhitney_u,mannwhitney_p,cliffs_delta,p_bh
belong,20,37,3.25,3.622,-0.372,0.3,0.595,-0.295,272.0,0.085,-0.265,0.1926
meaningful_friendships,20,37,3.65,3.378,0.272,0.55,0.568,-0.018,403.5,0.5557,0.091,0.7224
interact_chinese,20,37,3.1,4.027,-0.927,0.4,0.757,-0.357,217.5,0.0074,-0.412,0.0961
comfort_init,20,37,3.6,3.541,0.059,0.5,0.541,-0.041,384.5,0.8032,0.039,0.8701
language_hard,20,37,3.25,2.568,0.682,0.4,0.243,0.157,480.0,0.0572,0.297,0.1926
stay_in_groups,20,37,3.85,3.73,0.12,0.75,0.676,0.074,402.5,0.5356,0.088,0.7224
class_confidence,20,37,3.65,3.541,0.109,0.6,0.568,0.032,393.5,0.681,0.064,0.8048
valued_in_groups,20,37,3.65,3.568,0.082,0.55,0.595,-0.045,371.5,0.9861,0.004,0.9861
excluded_study_group,20,37,2.85,2.108,0.742,0.35,0.108,0.242,507.5,0.0151,0.372,0.0982
confident_succeed,20,37,3.2,3.541,-0.341,0.35,0.676,-0.326,275.0,0.0849,-0.257,0.1926
social_motivation,20,37,2.6,2.351,0.249,0.2,0.135,0.065,421.0,0.3613,0.138,0.6709
social_grades,20,37,2.5,2.351,0.149,0.2,0.135,0.065,405.0,0.5297,0.095,0.7224
uni_enough,20,37,2.8,3.243,-0.443,0.2,0.351,-0.151,274.5,0.0889,-0.258,0.1926
