question_id,question_text,type,scope,option,count,pct
status,Student status,single,pooled (n=57),Domestic Chinese student,37,64.91228070175438
status,Student status,single,pooled (n=57),International student,13,22.80701754385965
status,Student status,single,pooled (n=57),"Hong Kong, Macau, or Taiwan student",7,12.280701754385966
level,Current level of study,single,pooled (n=57),Undergraduate,53,92.98245614035088
level,Current level of study,single,pooled (n=57),PhD,4,7.017543859649122
gpa,Current cumulative GPA,ordinal,pooled (n=57),3.3-3.7,34,59.64912280701754
gpa,Current cumulative GPA,ordinal,pooled (n=57),2.7-3.0,12,21.05263157894737
gpa,Current cumulative GPA,ordinal,pooled (n=57),Above 3.7,9,15.789473684210526
gpa,Current cumulative GPA,ordinal,pooled (n=57),Below 2.3,1,1.7543859649122806
gpa,Current cumulative GPA,ordinal,pooled (n=57),2.3-2.7,1,1.7543859649122806
belong,I feel that I belong at HKUST(GZ).,likert,pooled (n=57),Neutral,22,38.59649122807018
belong,I feel that I belong at HKUST(GZ).,likert,pooled (n=57),Agree,20,35.08771929824562
belong,I feel that I belong at HKUST(GZ).,likert,pooled (n=57),Strongly agree,8,14.035087719298245
belong,I feel that I belong at HKUST(GZ).,likert,pooled (n=57),Disagree,6,10.526315789473685
belong,I feel that I belong at HKUST(GZ).,likert,pooled (n=57),Strongly disagree,1,1.7543859649122806
meaningful_friendships,I have meaningful friendships with students from different backgrounds.,likert,pooled (n=57),Agree,26,45.6140350877193
meaningful_friendships,I have meaningful friendships with students from different backgrounds.,likert,pooled (n=57),Neutral,17,29.82456140350877
meaningful_friendships,I have meaningful friendships with students from different backgrounds.,likert,pooled (n=57),Strongly agree,6,10.526315789473685
meaningful_friendships,I have meaningful friendships with students from different backgrounds.,likert,pooled (n=57),Disagree,5,8.771929824561404
meaningful_friendships,I have meaningful friendships with students from different backgrounds.,likert,pooled (n=57),Strongly disagree,3,5.2631578947368425
interact_chinese,I regularly interact with local Chinese students outside of class.,likert,pooled (n=57),Agree,23,40.35087719298246
interact_chinese,I regularly interact with local Chinese students outside of class.,likert,pooled (n=57),Neutral,16,28.07017543859649
interact_chinese,I regularly interact with local Chinese students outside of class.,likert,pooled (n=57),Strongly agree,13,22.80701754385965
interact_chinese,I regularly interact with local Chinese students outside of class.,likert,pooled (n=57),Strongly disagree,4,7.017543859649122
interact_chinese,I regularly interact with local Chinese students outside of class.,likert,pooled (n=57),Disagree,1,1.7543859649122806
comfort_init,I feel comfortable initiating conversations with students from a different cultural background.,likert,pooled (n=57),Agree,22,38.59649122807018
comfort_init,I feel comfortable initiating conversations with students from a different cultural background.,likert,pooled (n=57),Neutral,22,38.59649122807018
comfort_init,I feel comfortable initiating conversations with students from a different cultural background.,likert,pooled (n=57),Strongly agree,8,14.035087719298245
comfort_init,I feel comfortable initiating conversations with students from a different cultural background.,likert,pooled (n=57),Disagree,4,7.017543859649122
comfort_init,I feel comfortable initiating conversations with students from a different cultural background.,likert,pooled (n=57),Strongly disagree,1,1.7543859649122806
language_hard,Language differences make it difficult for me to form meaningful friendships here.,likert,pooled (n=57),Disagree,21,36.8421052631579
language_hard,Language differences make it difficult for me to form meaningful friendships here.,likert,pooled (n=57),Neutral,13,22.80701754385965
language_hard,Language differences make it difficult for me to form meaningful friendships here.,likert,pooled (n=57),Agree,12,21.05263157894737
language_hard,Language differences make it difficult for me to form meaningful friendships here.,likert,pooled (n=57),Strongly disagree,6,10.526315789473685
language_hard,Language differences make it difficult for me to form meaningful friendships here.,likert,pooled (n=57),Strongly agree,5,8.771929824561404
stay_in_groups,Students at HKUST(GZ) tend to stay within their own cultural or national groups.,likert,pooled (n=57),Agree,35,61.40350877192982
stay_in_groups,Students at HKUST(GZ) tend to stay within their own cultural or national groups.,likert,pooled (n=57),Neutral,16,28.07017543859649
stay_in_groups,Students at HKUST(GZ) tend to stay within their own cultural or national groups.,likert,pooled (n=57),Strongly agree,5,8.771929824561404
stay_in_groups,Students at HKUST(GZ) tend to stay within their own cultural or national groups.,likert,pooled (n=57),Disagree,1,1.7543859649122806
class_confidence,I feel confident participating in class discussions.,likert,pooled (n=57),Agree,26,45.6140350877193
class_confidence,I feel confident participating in class discussions.,likert,pooled (n=57),Neutral,17,29.82456140350877
class_confidence,I feel confident participating in class discussions.,likert,pooled (n=57),Disagree,7,12.280701754385966
class_confidence,I feel confident participating in class discussions.,likert,pooled (n=57),Strongly agree,7,12.280701754385966
valued_in_groups,"When working on group projects, I feel my contributions are valued equally.",likert,pooled (n=57),Agree,22,38.59649122807018
valued_in_groups,"When working on group projects, I feel my contributions are valued equally.",likert,pooled (n=57),Neutral,15,26.31578947368421
valued_in_groups,"When working on group projects, I feel my contributions are valued equally.",likert,pooled (n=57),Strongly agree,11,19.29824561403509
valued_in_groups,"When working on group projects, I feel my contributions are valued equally.",likert,pooled (n=57),Disagree,8,14.035087719298245
valued_in_groups,"When working on group projects, I feel my contributions are valued equally.",likert,pooled (n=57),Strongly disagree,1,1.7543859649122806
excluded_study_group,"I have been excluded from, or had difficulty joining, a study group due to language or cultural differences.",likert,pooled (n=57),Disagree,26,45.6140350877193
excluded_study_group,"I have been excluded from, or had difficulty joining, a study group due to language or cultural differences.",likert,pooled (n=57),Strongly disagree,11,19.29824561403509
excluded_study_group,"I have been excluded from, or had difficulty joining, a study group due to language or cultural differences.",likert,pooled (n=57),Agree,10,17.54385964912281
excluded_study_group,"I have been excluded from, or had difficulty joining, a study group due to language or cultural differences.",likert,pooled (n=57),Neutral,9,15.789473684210526
excluded_study_group,"I have been excluded from, or had difficulty joining, a study group due to language or cultural differences.",likert,pooled (n=57),Strongly agree,1,1.7543859649122806
confident_succeed,I feel confident in my ability to succeed academically at HKUST(GZ).,likert,pooled (n=57),Agree,29,50.87719298245614
confident_succeed,I feel confident in my ability to succeed academically at HKUST(GZ).,likert,pooled (n=57),Neutral,17,29.82456140350877
confident_succeed,I feel confident in my ability to succeed academically at HKUST(GZ).,likert,pooled (n=57),Disagree,5,8.771929824561404
confident_succeed,I feel confident in my ability to succeed academically at HKUST(GZ).,likert,pooled (n=57),Strongly disagree,3,5.2631578947368425
confident_succeed,I feel confident in my ability to succeed academically at HKUST(GZ).,likert,pooled (n=57),Strongly agree,3,5.2631578947368425
social_motivation,Social difficulties on campus have negatively affected my motivation to study.,likert,pooled (n=57),Disagree,29,50.87719298245614
social_motivation,Social difficulties on campus have negatively affected my motivation to study.,likert,pooled (n=57),Neutral,12,21.05263157894737
social_motivation,Social difficulties on campus have negatively affected my motivation to study.,likert,pooled (n=57),Agree,7,12.280701754385966
social_motivation,Social difficulties on campus have negatively affected my motivation to study.,likert,pooled (n=57),Strongly disagree,7,12.280701754385966
social_motivation,Social difficulties on campus have negatively affected my motivation to study.,likert,pooled (n=57),Strongly agree,2,3.508771929824561
social_grades,Social difficulties on campus have negatively affected my actual grades.,likert,pooled (n=57),Disagree,30,52.63157894736842
social_grades,Social difficulties on campus have negatively affected my actual grades.,likert,pooled (n=57),Neutral,11,19.29824561403509
social_grades,Social difficulties on campus have negatively affected my actual grades.,likert,pooled (n=57),Agree,8,14.035087719298245
social_grades,Social difficulties on campus have negatively affected my actual grades.,likert,pooled (n=57),Strongly disagree,7,12.280701754385966
social_grades,Social difficulties on campus have negatively affected my actual grades.,likert,pooled (n=57),Strongly agree,1,1.7543859649122806
aware_services,I am aware of support services available to international students.,single,pooled (n=57),Somewhat,37,64.91228070175438
aware_services,I am aware of support services available to international students.,single,pooled (n=57),Yes,12,21.05263157894737
aware_services,I am aware of support services available to international students.,single,pooled (n=57),No,8,14.035087719298245
uni_enough,The university does enough to help international students integrate and succeed.,likert,pooled (n=57),Neutral,27,47.36842105263158
uni_enough,The university does enough to help international students integrate and succeed.,likert,pooled (n=57),Agree,14,24.56140350877193
uni_enough,The university does enough to help international students integrate and succeed.,likert,pooled (n=57),Disagree,11,19.29824561403509
uni_enough,The university does enough to help international students integrate and succeed.,likert,pooled (n=57),Strongly agree,3,5.2631578947368425
uni_enough,The university does enough to help international students integrate and succeed.,likert,pooled (n=57),Strongly disagree,2,3.508771929824561
gender,Gender,single,B-only (n=43),Male,24,55.81395348837209
gender,Gender,single,B-only (n=43),Female,17,39.53488372093023
gender,Gender,single,B-only (n=43),Prefer not to say,2,4.651162790697675
year,Year of study,ordinal,B-only (n=43),Year 1,17,39.53488372093023
year,Year of study,ordinal,B-only (n=43),Year 2,13,30.232558139534884
year,Year of study,ordinal,B-only (n=43),Year 3,13,30.232558139534884
social_circle,Size of main social circle,ordinal,B-only (n=43),3-5,23,53.48837209302326
social_circle,Size of main social circle,ordinal,B-only (n=43),6-10,9,20.930232558139537
social_circle,Size of main social circle,ordinal,B-only (n=43),More than 10,7,16.27906976744186
social_circle,Size of main social circle,ordinal,B-only (n=43),1-2,3,6.976744186046512
social_circle,Size of main social circle,ordinal,B-only (n=43),0,1,2.3255813953488373
