status,nationality,level,language,gpa,belong,meaningful_friendships,interact_chinese,comfort_init,language_hard,stay_in_groups,class_confidence,valued_in_groups,excluded_study_group,confident_succeed,social_motivation,social_grades,aware_services,uni_enough,open_ended,gender,year,social_circle,batch
Domestic Chinese student,China,Undergraduate,Mandarin,2.7-3.0,Neutral,Disagree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,No,Neutral,Social experience mainly affected my academic inspiration and motivation. More close friends to communicate on academy would be of help.,,,,A
Domestic Chinese student,China,Undergraduate,Chinese,2.7-3.0,Neutral,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat,Neutral,I don’t know.,,,,A
International student,Kazakhstan,Undergraduate,Russian,3.3-3.7,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Somewhat,Agree,"No effect, everythings ok",,,,A
International student,Kazakhstan,Undergraduate,"Kazakh, Russian, English",3.3-3.7,Disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Somewhat,Disagree,Supporting international students with their career,,,,A
Domestic Chinese student,Han,Undergraduate,Chinese,3.3-3.7,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,No,Neutral,No ideas currently,,,,A
"Hong Kong, Macau, or Taiwan student",Macau,Undergraduate,Chinese,2.7-3.0,Disagree,Agree,Strongly agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,No,Agree,Idk,,,,A
Domestic Chinese student,China,Undergraduate,Chinese,Above 3.7,Neutral,Agree,Neutral,Neutral,Strongly disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat,Neutral,i don't know,,,,A
Domestic Chinese student,china beijing,Undergraduate,chinese,3.3-3.7,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Yes,Agree,Good way. Improve my teamwork ability,,,,A
"Hong Kong, Macau, or Taiwan student",Macau,Undergraduate,Cantonese,Below 2.3,Neutral,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Neutral,Yes,Neutral,"Small groups and people do not have the same class with you, afraid to search for help because everyone have their own schedule and struggles",,,,A
Domestic Chinese student,Guangdong,Undergraduate,putong hua,Above 3.7,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Somewhat,Agree,It has enriched my academic life through collaborative learning and peer support.,,,,A
Domestic Chinese student,China,Undergraduate,Chinese,2.7-3.0,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Somewhat,Strongly agree,Learning English,,,,A
Domestic Chinese student,China,Undergraduate,mandarain,2.7-3.0,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Somewhat,Agree,not quite,,,,A
Domestic Chinese student,汉,Undergraduate,Chinese,3.3-3.7,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat,Neutral,now is well,,,,A
Domestic Chinese student,河南,Undergraduate,中文,2.7-3.0,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,No,Neutral,No,,,,A
Domestic Chinese student,Chinese,Undergraduate,Chinese,3.3-3.7,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Somewhat,Agree,.,Female,Year 1,3-5,B
Domestic Chinese student,China,Undergraduate,Chinese,2.7-3.0,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Yes,Neutral,"Good social, good mood, more motivation to learn",Female,Year 2,3-5,B
Domestic Chinese student,China,Undergraduate,Chinese,3.3-3.7,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Somewhat,Agree,Talking to friends about our academic interests and experiences help me find my interests and plan study path better,Female,Year 2,1-2,B
Domestic Chinese student,Canton,Undergraduate,Mandarin,3.3-3.7,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Somewhat,Agree,"Please establish some elective secondary language courses like Spanish, Germany, Russian or Japanese, that would be helpful!",Prefer not to say,Year 1,3-5,B
Domestic Chinese student,Guangdong Province,Undergraduate,Chinese,3.3-3.7,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Somewhat,Neutral,idk,Male,Year 1,3-5,B
